ln_uwe,ln_ahe,age,gender,race,years_ed
6.175387,2.486508,46,2,1,16
6.342494,2.653614,46,2,1,18
5.010635,2.014903,33,2,1,13
5.882411,1.633916,30,2,1,13
5.846883,1.752539,33,2,1,13
6.789968,2.983305,39,1,1,13
6.288716,2.482054,45,2,1,12
5.441418,1.752539,32,1,1,12
3.83198,0.1431008,42,2,1,18
6.214608,2.525729,40,1,1,16
5.647755,2.092407,39,1,1,16
5.952244,2.145581,43,2,1,12
5.760841,2.071962,50,1,4,12
6.252348,2.563469,29,2,1,16
5.991465,2.302585,27,1,1,12
4.268698,1.496109,44,1,1,16
5.595569,1.906689,32,2,1,12
5.991465,2.302585,26,1,1,12
6.288716,2.705197,32,2,1,16
6.092006,2.179983,48,1,1,12
5.907797,2.296879,27,1,1,13
5.678925,1.58458,41,1,1,12
5.498988,1.586965,30,1,1,13
6.257668,2.345644,32,1,1,22
3.872802,0.1839228,35,2,1,18
6.56743,2.87855,44,2,1,18
4.186282,0.4974026,34,1,1,8
4.923624,1.457888,29,2,1,13
5.426151,2.024953,26,1,1,13
6.224444,2.535565,45,1,1,16
5.693289,2.137941,42,2,1,16
6.763174,3.074295,43,1,1,14
5.035953,1.634756,48,2,1,12
6.657814,2.65048,35,1,1,12
6.357709,2.668829,46,1,1,12
3.649659,0.1531512,41,2,1,12
5.602403,1.913523,38,2,1,12
4.66126,1.665527,26,1,1,12
4.034626,1.955184,27,2,1,12
4.564148,-0.030972,34,1,1,11
5.911161,2.222282,42,2,1,12
5.952244,2.263364,48,1,1,8
4.644391,0.9555115,38,1,1,11
5.441418,1.752539,43,1,1,11
6.134565,2.445686,42,2,1,18
6.594098,2.905218,42,2,1,15
5.62374,1.93486,26,2,1,12
6.511859,2.683218,37,1,1,12
5.259097,1.703749,29,2,1,12
6.134565,2.222542,42,1,1,14
5.926426,2.237546,50,1,1,8
6.023367,2.334487,25,1,1,12
5.457948,1.545925,27,2,1,12
4.150434,2.070992,30,1,1,13
5.486718,1.797839,28,2,1,16
5.560682,1.871802,49,2,1,12
5.926926,2.238047,41,2,1,13
6.620073,3.064725,33,1,1,14
6.496369,2.625168,43,2,1,12
4.059165,0.6579677,31,2,1,13
5.521461,1.203973,40,1,1,13
6.047554,1.690845,37,2,1,16
6.658357,2.969477,44,1,1,16
6.175387,2.537801,32,2,1,16
6.511859,2.82298,38,2,1,16
6.116486,2.427607,36,1,1,12
5.941315,2.070114,26,2,1,15
6.582558,2.575225,49,1,1,12
4.722953,1.727221,49,2,1,12
6.999563,2.99223,33,1,1,18
6.288716,2.599837,34,2,1,12
5.339139,1.65026,34,2,1,18
6.134565,2.579217,39,2,1,16
5.917653,2.11099,33,1,1,12
5.647991,2.246794,40,2,1,12
6.002047,2.195384,29,1,1,12
5.541775,2.140578,25,1,1,16
6.259728,2.570849,37,1,1,13
6.645391,2.956511,29,1,1,18
5.345274,1.656395,50,2,1,12
5.259097,2.551046,38,1,1,13
5.874282,2.185403,43,2,1,12
6.763174,3.074295,35,1,1,15
5.40337,1.714491,40,2,1,12
5.233779,1.544899,40,1,1,12
6.134565,2.668829,40,2,1,12
5.850986,2.187424,50,2,1,12
6.376236,2.638567,35,1,1,12
6.474484,2.603283,44,1,1,12
5.614987,1.926108,26,1,1,15
5.626375,1.937496,37,2,1,12
6.56743,2.87855,38,1,1,12
5.441418,2.396896,31,2,1,12
5.135798,1.734601,38,2,1,13
5.441418,1.752539,33,2,1,12
6.422247,2.551046,29,1,1,12
5.601504,1.912624,31,2,1,12
6.087648,2.398769,43,1,1,16
6.234184,2.545305,40,2,1,12
5.135798,0.9461437,30,1,1,12
5.7291,2.040221,31,2,1,12
2.956511,-0.0392207,48,2,1,11
6.758224,3.069344,48,1,1,16
5.233779,1.678431,26,2,1,13
7.127138,3.119805,35,1,1,13
